listing_status,list_price,beds,baths,sqft_living,lot_sqft,year_built,city,zip_code,latitude,longitude,hoa_fee,days_on_market,price_per_sqft,listing_type,parking_garage,stories,house_age,baths_per_bed,total_rooms,sqft_per_bed,log_list_price,log_sqft_living,property_type_LAND,property_type_MOBILE,property_type_MULTI_FAMILY,property_type_SINGLE_FAMILY,property_type_TOWNHOMES
FOR_SALE,1663500,3.0,3.0,1820.0,,2025.0,Austin,78701,30.260429,-97.73848,1400.0,65.0,914.0,for_sale,2.0,1.0,1.0,1.0,6.0,606.6666666666666,14.324434975582658,7.507141079727608,0,0,0,0,0
FOR_SALE,1500000,2.0,2.0,1464.0,87.0,2008.0,Austin,78701,30.264604,-97.744431,1648.0,296.0,1025.0,for_sale,2.0,1.0,18.0,1.0,4.0,732.0,14.220976332738882,7.289610521451167,0,0,0,0,0
FOR_SALE,5300000,4.0,5.0,7617.0,2601.0,1910.0,Austin,78701,30.270594,-97.747147,0.0,299.0,696.0,for_sale,,3.0,116.0,1.25,9.0,1904.25,15.483217567201578,8.938269147038548,0,0,0,1,0
FOR_SALE,875000,2.0,2.0,1174.0,,2025.0,Austin,78701,30.260429,-97.73848,904.0,80.0,745.0,for_sale,1.0,1.0,1.0,1.0,4.0,587.0,13.681980308196241,7.069023426578259,0,0,0,0,0
FOR_SALE,2100000,3.0,3.0,2227.0,636.0,2014.0,Austin,78701,30.267402,-97.752016,1850.0,142.0,943.0,for_sale,2.0,1.0,12.0,1.0,6.0,742.3333333333334,14.557448378884015,7.708859601047175,0,0,0,0,0
FOR_SALE,2499000,2.0,2.0,1918.0,131.0,2008.0,Austin,78701,30.264604,-97.744431,2289.0,103.0,1303.0,for_sale,2.0,1.0,18.0,1.0,4.0,959.0,14.731401609977073,7.5595594960077,0,0,0,0,0
FOR_SALE,4725000,5.0,5.0,3285.0,,2024.0,Austin,78701,30.260347,-97.738564,2529.0,348.0,1438.0,for_sale,2.0,1.0,2.0,1.0,10.0,657.0,15.36837833055017,8.097426298597213,0,0,0,0,0
FOR_SALE,775000,2.0,2.0,1115.0,131.0,2008.0,Austin,78701,30.267661,-97.749622,1048.0,178.0,695.0,for_sale,2.0,1.0,18.0,1.0,4.0,557.5,13.560619598657233,7.017506142941256,0,0,0,0,0
FOR_SALE,850000,2.0,2.0,1224.0,74.0,2024.0,Austin,78701,30.259644,-97.737477,967.0,138.0,694.0,for_sale,2.0,1.0,2.0,1.0,4.0,612.0,13.652992804936396,7.110696122978827,0,0,0,0,0
FOR_SALE,174000,1.0,1.0,592.0,,1966.0,Austin,78701,30.280731,-97.741356,517.0,171.0,294.0,for_sale,1.0,1.0,60.0,1.0,2.0,592.0,12.066816325306588,6.385194398997726,0,0,0,0,0
FOR_SALE,189000,2.0,1.0,608.0,270.0,1966.0,Austin,78701,30.280731,-97.741356,792.0,150.0,311.0,for_sale,1.0,1.0,60.0,0.5,3.0,304.0,12.149507585033072,6.411818267709897,0,0,0,0,0
FOR_SALE,3500000,9.0,3.0,4916.0,2744.0,1961.0,Austin,78701,30.2714,-97.740677,0.0,161.0,712.0,for_sale,,3.0,65.0,0.3333333333333333,12.0,546.2222222222222,15.068273812173887,8.50045386741194,0,0,0,1,0
FOR_SALE,1053000,2.0,2.0,1176.0,,2024.0,Austin,78701,30.259644,-97.737477,869.0,204.0,895.0,for_sale,,,2.0,1.0,4.0,588.0,13.867154740783278,7.0707241072602764,0,0,0,0,0
